r,t,y,SalvageValue
RE1,DEMPWRSURWAT,2023,0.7881
RE1,DEMPWRSURWAT,2024,0.923
RE1,DEMPWRSURWAT,2025,1.1753
RE1,DEMPWRSURWAT,2026,2.3215
RE1,DEMPWRSURWAT,2027,1.6022
RE1,DEMPWRSURWAT,2028,1.8399
RE1,DEMPWRSURWAT,2029,2.1886
RE1,DEMPWRSURWAT,2030,1.591
RE1,DEMPWRSURWAT,2031,2.7354
RE1,DEMPWRSURWAT,2032,3.1563
RE1,DEMPWRSURWAT,2033,3.4831
RE1,DEMPWRSURWAT,2034,3.963
RE1,DEMPWRSURWAT,2035,4.3253
RE1,DEMPUBSURWAT,2021,10.1704
RE1,DEMPUBSURWAT,2022,14.5708
RE1,DEMPUBSURWAT,2023,17.4588
RE1,DEMPUBSURWAT,2024,20.7405
RE1,DEMPUBSURWAT,2025,24.5145
RE1,DEMPUBSURWAT,2026,28.2228
RE1,DEMPUBSURWAT,2027,32.1281
RE1,DEMPUBSURWAT,2028,37.0178
RE1,DEMPUBSURWAT,2029,41.3825
RE1,DEMPUBSURWAT,2030,46.863
RE1,DEMPUBSURWAT,2031,52.1794
RE1,DEMPUBSURWAT,2032,57.7583
RE1,DEMPUBSURWAT,2033,64.1577
RE1,DEMPUBSURWAT,2034,70.8852
RE1,DEMPUBSURWAT,2035,78.5644
