t,f,m,y,l,r,RateOfProductionByTechnologyByMode
LNDBLT,WTRRUN,1,2031,S11,RE1,6.847
LNDBLT,WTRRUN,1,2032,S11,RE1,6.929
LNDBLT,WTRRUN,1,2033,S11,RE1,7.011
LNDBLT,WTRRUN,1,2034,S11,RE1,7.052
LNDBLT,WTRRUN,1,2035,S11,RE1,7.134
LNDFOR,LFOR,1,2020,S11,RE1,253.6
LNDFOR,LFOR,1,2021,S11,RE1,243.6
LNDFOR,LFOR,1,2022,S11,RE1,233.6
LNDFOR,LFOR,1,2023,S11,RE1,223.6
LNDFOR,LFOR,1,2024,S11,RE1,213.6
LNDFOR,LFOR,1,2025,S11,RE1,203.6
LNDFOR,LFOR,1,2026,S11,RE1,252.9324
LNDFOR,LFOR,1,2027,S11,RE1,252.773
LNDFOR,LFOR,1,2028,S11,RE1,252.6889
LNDFOR,LFOR,1,2029,S11,RE1,252.5043
LNDFOR,LFOR,1,2030,S11,RE1,252.317
LNDFOR,LFOR,1,2031,S11,RE1,252.317
LNDFOR,LFOR,1,2032,S11,RE1,252.317
LNDFOR,LFOR,1,2033,S11,RE1,252.317
LNDFOR,LFOR,1,2034,S11,RE1,252.317
LNDFOR,LFOR,1,2035,S11,RE1,252.317
LNDFOR,WTREVT,1,2020,S11,RE1,215.56
LNDFOR,WTREVT,1,2021,S11,RE1,207.06
LNDFOR,WTREVT,1,2022,S11,RE1,198.56
LNDFOR,WTREVT,1,2023,S11,RE1,190.06
LNDFOR,WTREVT,1,2024,S11,RE1,181.56
LNDFOR,WTREVT,1,2025,S11,RE1,173.06
LNDFOR,WTREVT,1,2026,S11,RE1,214.9925
LNDFOR,WTREVT,1,2027,S11,RE1,214.857
LNDFOR,WTREVT,1,2028,S11,RE1,214.7856
LNDFOR,WTREVT,1,2029,S11,RE1,214.6287
LNDFOR,WTREVT,1,2030,S11,RE1,214.4694
LNDFOR,WTREVT,1,2031,S11,RE1,214.4694
LNDFOR,WTREVT,1,2032,S11,RE1,214.4694
LNDFOR,WTREVT,1,2033,S11,RE1,214.4694
LNDFOR,WTREVT,1,2034,S11,RE1,214.4694
LNDFOR,WTREVT,1,2035,S11,RE1,214.4694
LNDFOR,WTRGWT,1,2020,S11,RE1,7.608
LNDFOR,WTRGWT,1,2021,S11,RE1,7.308
LNDFOR,WTRGWT,1,2022,S11,RE1,7.008
LNDFOR,WTRGWT,1,2023,S11,RE1,6.708
LNDFOR,WTRGWT,1,2024,S11,RE1,6.408
LNDFOR,WTRGWT,1,2025,S11,RE1,6.108
LNDFOR,WTRGWT,1,2026,S11,RE1,7.588
LNDFOR,WTRGWT,1,2027,S11,RE1,7.5832
LNDFOR,WTRGWT,1,2028,S11,RE1,7.5807
LNDFOR,WTRGWT,1,2029,S11,RE1,7.5751
LNDFOR,WTRGWT,1,2030,S11,RE1,7.5695
LNDFOR,WTRGWT,1,2031,S11,RE1,7.5695
LNDFOR,WTRGWT,1,2032,S11,RE1,7.5695
LNDFOR,WTRGWT,1,2033,S11,RE1,7.5695
LNDFOR,WTRGWT,1,2034,S11,RE1,7.5695
LNDFOR,WTRGWT,1,2035,S11,RE1,7.5695
LNDFOR,WTRRUN,1,2020,S11,RE1,81.152
LNDFOR,WTRRUN,1,2021,S11,RE1,77.952
LNDFOR,WTRRUN,1,2022,S11,RE1,74.752
LNDFOR,WTRRUN,1,2023,S11,RE1,71.552
LNDFOR,WTRRUN,1,2024,S11,RE1,68.352
LNDFOR,WTRRUN,1,2025,S11,RE1,65.152
LNDFOR,WTRRUN,1,2026,S11,RE1,80.9384
LNDFOR,WTRRUN,1,2027,S11,RE1,80.8874
LNDFOR,WTRRUN,1,2028,S11,RE1,80.8604
LNDFOR,WTRRUN,1,2029,S11,RE1,80.8014
LNDFOR,WTRRUN,1,2030,S11,RE1,80.7414
LNDFOR,WTRRUN,1,2031,S11,RE1,80.7414
LNDFOR,WTRRUN,1,2032,S11,RE1,80.7414
LNDFOR,WTRRUN,1,2033,S11,RE1,80.7414
LNDFOR,WTRRUN,1,2034,S11,RE1,80.7414
LNDFOR,WTRRUN,1,2035,S11,RE1,80.7414
LNDMAIIRR,CRPMAI,1,2020,S11,RE1,0.1549
LNDMAIIRR,CRPMAI,1,2021,S11,RE1,0.3365
LNDMAIIRR,CRPMAI,1,2022,S11,RE1,0.519
LNDMAIIRR,CRPMAI,1,2023,S11,RE1,0.7006
LNDMAIIRR,CRPMAI,1,2024,S11,RE1,0.8831
LNDMAIIRR,CRPMAI,1,2025,S11,RE1,1.0765
LNDMAIIRR,CRPMAI,1,2026,S11,RE1,1.259
LNDMAIIRR,CRPMAI,1,2027,S11,RE1,1.4425
LNDMAIIRR,CRPMAI,1,2028,S11,RE1,1.6369
LNDMAIIRR,CRPMAI,1,2029,S11,RE1,1.8313
LNDMAIIRR,CRPMAI,1,2030,S11,RE1,2.0267
LNDMAIIRR,CRPMAI,1,2031,S11,RE1,2.0831
LNDMAIIRR,CRPMAI,1,2032,S11,RE1,2.1395
LNDMAIIRR,CRPMAI,1,2033,S11,RE1,2.1959
LNDMAIIRR,CRPMAI,1,2034,S11,RE1,2.2522
LNDMAIIRR,CRPMAI,1,2035,S11,RE1,2.3096
LNDMAIIRR,WTREVT,1,2020,S11,RE1,0.1699
LNDMAIIRR,WTREVT,1,2021,S11,RE1,0.369
LNDMAIIRR,WTREVT,1,2022,S11,RE1,0.5691
LNDMAIIRR,WTREVT,1,2023,S11,RE1,0.7682
LNDMAIIRR,WTREVT,1,2024,S11,RE1,0.9683
LNDMAIIRR,WTREVT,1,2025,S11,RE1,1.1804
LNDMAIIRR,WTREVT,1,2026,S11,RE1,1.3804
LNDMAIIRR,WTREVT,1,2027,S11,RE1,1.5817
LNDMAIIRR,WTREVT,1,2028,S11,RE1,1.7948
LNDMAIIRR,WTREVT,1,2029,S11,RE1,2.008
LNDMAIIRR,WTREVT,1,2030,S11,RE1,2.2222
LNDMAIIRR,WTREVT,1,2031,S11,RE1,2.284
LNDMAIIRR,WTREVT,1,2032,S11,RE1,2.3459
LNDMAIIRR,WTREVT,1,2033,S11,RE1,2.4078
LNDMAIIRR,WTREVT,1,2034,S11,RE1,2.4696
LNDMAIIRR,WTREVT,1,2035,S11,RE1,2.5325
LNDMAIIRR,WTRGWT,1,2020,S11,RE1,0.034
LNDMAIIRR,WTRGWT,1,2021,S11,RE1,0.0738
LNDMAIIRR,WTRGWT,1,2022,S11,RE1,0.1138
LNDMAIIRR,WTRGWT,1,2023,S11,RE1,0.1536
LNDMAIIRR,WTRGWT,1,2024,S11,RE1,0.1937
LNDMAIIRR,WTRGWT,1,2025,S11,RE1,0.2361
LNDMAIIRR,WTRGWT,1,2026,S11,RE1,0.2761
LNDMAIIRR,WTRGWT,1,2027,S11,RE1,0.3163
LNDMAIIRR,WTRGWT,1,2028,S11,RE1,0.359
LNDMAIIRR,WTRGWT,1,2029,S11,RE1,0.4016
LNDMAIIRR,WTRGWT,1,2030,S11,RE1,0.4444
LNDMAIIRR,WTRGWT,1,2031,S11,RE1,0.4568
LNDMAIIRR,WTRGWT,1,2032,S11,RE1,0.4692
LNDMAIIRR,WTRGWT,1,2033,S11,RE1,0.4816
LNDMAIIRR,WTRGWT,1,2034,S11,RE1,0.4939
LNDMAIIRR,WTRGWT,1,2035,S11,RE1,0.5065
LNDMAIIRR,WTRRUN,1,2020,S11,RE1,0.3058
LNDMAIIRR,WTRRUN,1,2021,S11,RE1,0.6641
LNDMAIIRR,WTRRUN,1,2022,S11,RE1,1.0244
LNDMAIIRR,WTRRUN,1,2023,S11,RE1,1.3827
LNDMAIIRR,WTRRUN,1,2024,S11,RE1,1.7429
LNDMAIIRR,WTRRUN,1,2025,S11,RE1,2.1246
LNDMAIIRR,WTRRUN,1,2026,S11,RE1,2.4848
LNDMAIIRR,WTRRUN,1,2027,S11,RE1,2.8471
LNDMAIIRR,WTRRUN,1,2028,S11,RE1,3.2307
LNDMAIIRR,WTRRUN,1,2029,S11,RE1,3.6144
LNDMAIIRR,WTRRUN,1,2030,S11,RE1,4.0
LNDMAIIRR,WTRRUN,1,2031,S11,RE1,4.1113
LNDMAIIRR,WTRRUN,1,2032,S11,RE1,4.2226
LNDMAIIRR,WTRRUN,1,2033,S11,RE1,4.334
LNDMAIIRR,WTRRUN,1,2034,S11,RE1,4.4452
LNDMAIIRR,WTRRUN,1,2035,S11,RE1,4.5585
LNDMAIRNF,CRPMAI,1,2020,S11,RE1,1.3899
LNDMAIRNF,CRPMAI,1,2021,S11,RE1,1.2509
LNDMAIRNF,CRPMAI,1,2022,S11,RE1,1.1119
LNDMAIRNF,CRPMAI,1,2023,S11,RE1,0.9729
LNDMAIRNF,CRPMAI,1,2024,S11,RE1,0.8339
LNDMAIRNF,CRPMAI,1,2025,S11,RE1,0.695
LNDMAIRNF,CRPMAI,1,2026,S11,RE1,0.556
LNDMAIRNF,CRPMAI,1,2027,S11,RE1,0.417
LNDMAIRNF,CRPMAI,1,2028,S11,RE1,0.278
LNDMAIRNF,CRPMAI,1,2029,S11,RE1,0.139
LNDMAIRNF,CRPMAI,1,2030,S11,RE1,0.0
LNDMAIRNF,CRPMAI,1,2031,S11,RE1,0.0
LNDMAIRNF,CRPMAI,1,2032,S11,RE1,0.0
LNDMAIRNF,CRPMAI,1,2033,S11,RE1,0.0
LNDMAIRNF,CRPMAI,1,2034,S11,RE1,0.0
LNDMAIRNF,CRPMAI,1,2035,S11,RE1,0.0
LNDMAIRNF,WTREVT,1,2020,S11,RE1,1.64
LNDMAIRNF,WTREVT,1,2021,S11,RE1,1.476
LNDMAIRNF,WTREVT,1,2022,S11,RE1,1.312
LNDMAIRNF,WTREVT,1,2023,S11,RE1,1.148
LNDMAIRNF,WTREVT,1,2024,S11,RE1,0.984
LNDMAIRNF,WTREVT,1,2025,S11,RE1,0.82
LNDMAIRNF,WTREVT,1,2026,S11,RE1,0.656
LNDMAIRNF,WTREVT,1,2027,S11,RE1,0.492
LNDMAIRNF,WTREVT,1,2028,S11,RE1,0.328
LNDMAIRNF,WTREVT,1,2029,S11,RE1,0.164
LNDMAIRNF,WTREVT,1,2030,S11,RE1,0.0
LNDMAIRNF,WTREVT,1,2031,S11,RE1,0.0
LNDMAIRNF,WTREVT,1,2032,S11,RE1,0.0
LNDMAIRNF,WTREVT,1,2033,S11,RE1,0.0
LNDMAIRNF,WTREVT,1,2034,S11,RE1,0.0
LNDMAIRNF,WTREVT,1,2035,S11,RE1,0.0
LNDMAIRNF,WTRGWT,1,2020,S11,RE1,0.328
LNDMAIRNF,WTRGWT,1,2021,S11,RE1,0.2952
LNDMAIRNF,WTRGWT,1,2022,S11,RE1,0.2624
LNDMAIRNF,WTRGWT,1,2023,S11,RE1,0.2296
LNDMAIRNF,WTRGWT,1,2024,S11,RE1,0.1968
LNDMAIRNF,WTRGWT,1,2025,S11,RE1,0.164
LNDMAIRNF,WTRGWT,1,2026,S11,RE1,0.1312
LNDMAIRNF,WTRGWT,1,2027,S11,RE1,0.0984
LNDMAIRNF,WTRGWT,1,2028,S11,RE1,0.0656
LNDMAIRNF,WTRGWT,1,2029,S11,RE1,0.0328
LNDMAIRNF,WTRGWT,1,2030,S11,RE1,0.0
LNDMAIRNF,WTRGWT,1,2031,S11,RE1,0.0
LNDMAIRNF,WTRGWT,1,2032,S11,RE1,0.0
LNDMAIRNF,WTRGWT,1,2033,S11,RE1,0.0
LNDMAIRNF,WTRGWT,1,2034,S11,RE1,0.0
LNDMAIRNF,WTRGWT,1,2035,S11,RE1,0.0
LNDMAIRNF,WTRRUN,1,2020,S11,RE1,2.952
LNDMAIRNF,WTRRUN,1,2021,S11,RE1,2.6568
LNDMAIRNF,WTRRUN,1,2022,S11,RE1,2.3616
LNDMAIRNF,WTRRUN,1,2023,S11,RE1,2.0664
LNDMAIRNF,WTRRUN,1,2024,S11,RE1,1.7712
LNDMAIRNF,WTRRUN,1,2025,S11,RE1,1.476
LNDMAIRNF,WTRRUN,1,2026,S11,RE1,1.1808
LNDMAIRNF,WTRRUN,1,2027,S11,RE1,0.8856
LNDMAIRNF,WTRRUN,1,2028,S11,RE1,0.5904
LNDMAIRNF,WTRRUN,1,2029,S11,RE1,0.2952
LNDMAIRNF,WTRRUN,1,2030,S11,RE1,0.0
LNDMAIRNF,WTRRUN,1,2031,S11,RE1,0.0
LNDMAIRNF,WTRRUN,1,2032,S11,RE1,0.0
LNDMAIRNF,WTRRUN,1,2033,S11,RE1,0.0
LNDMAIRNF,WTRRUN,1,2034,S11,RE1,0.0
LNDMAIRNF,WTRRUN,1,2035,S11,RE1,0.0
LNDRICIRR,CRPRIC,1,2020,S11,RE1,0.5968
LNDRICIRR,CRPRIC,1,2021,S11,RE1,0.6915
LNDRICIRR,CRPRIC,1,2022,S11,RE1,0.8072
LNDRICIRR,CRPRIC,1,2023,S11,RE1,0.9234
LNDRICIRR,CRPRIC,1,2024,S11,RE1,1.0406
LNDRICIRR,CRPRIC,1,2025,S11,RE1,1.1585
LNDRICIRR,CRPRIC,1,2026,S11,RE1,1.2766
LNDRICIRR,CRPRIC,1,2027,S11,RE1,1.3948
LNDRICIRR,CRPRIC,1,2028,S11,RE1,1.514
LNDRICIRR,CRPRIC,1,2029,S11,RE1,1.6348
LNDRICIRR,CRPRIC,1,2030,S11,RE1,1.755
LNDRICIRR,CRPRIC,1,2031,S11,RE1,1.79
LNDRICIRR,CRPRIC,1,2032,S11,RE1,1.8259
LNDRICIRR,CRPRIC,1,2033,S11,RE1,1.8631
LNDRICIRR,CRPRIC,1,2034,S11,RE1,1.9001
LNDRICIRR,CRPRIC,1,2035,S11,RE1,1.938
LNDRICIRR,WTREVT,1,2020,S11,RE1,0.4125
LNDRICIRR,WTREVT,1,2021,S11,RE1,0.478
LNDRICIRR,WTREVT,1,2022,S11,RE1,0.558
LNDRICIRR,WTREVT,1,2023,S11,RE1,0.6383
LNDRICIRR,WTREVT,1,2024,S11,RE1,0.7193
LNDRICIRR,WTREVT,1,2025,S11,RE1,0.8008
LNDRICIRR,WTREVT,1,2026,S11,RE1,0.8824
LNDRICIRR,WTREVT,1,2027,S11,RE1,0.9641
LNDRICIRR,WTREVT,1,2028,S11,RE1,1.0465
LNDRICIRR,WTREVT,1,2029,S11,RE1,1.13
LNDRICIRR,WTREVT,1,2030,S11,RE1,1.2131
LNDRICIRR,WTREVT,1,2031,S11,RE1,1.2374
LNDRICIRR,WTREVT,1,2032,S11,RE1,1.2622
LNDRICIRR,WTREVT,1,2033,S11,RE1,1.2878
LNDRICIRR,WTREVT,1,2034,S11,RE1,1.3134
LNDRICIRR,WTREVT,1,2035,S11,RE1,1.3396
LNDRICIRR,WTRGWT,1,2020,S11,RE1,0.0495
LNDRICIRR,WTRGWT,1,2021,S11,RE1,0.0574
LNDRICIRR,WTRGWT,1,2022,S11,RE1,0.067
LNDRICIRR,WTRGWT,1,2023,S11,RE1,0.0766
LNDRICIRR,WTRGWT,1,2024,S11,RE1,0.0863
LNDRICIRR,WTRGWT,1,2025,S11,RE1,0.0961
LNDRICIRR,WTRGWT,1,2026,S11,RE1,0.1059
LNDRICIRR,WTRGWT,1,2027,S11,RE1,0.1157
LNDRICIRR,WTRGWT,1,2028,S11,RE1,0.1256
LNDRICIRR,WTRGWT,1,2029,S11,RE1,0.1356
LNDRICIRR,WTRGWT,1,2030,S11,RE1,0.1456
LNDRICIRR,WTRGWT,1,2031,S11,RE1,0.1485
LNDRICIRR,WTRGWT,1,2032,S11,RE1,0.1515
LNDRICIRR,WTRGWT,1,2033,S11,RE1,0.1545
LNDRICIRR,WTRGWT,1,2034,S11,RE1,0.1576
LNDRICIRR,WTRGWT,1,2035,S11,RE1,0.1608
LNDRICIRR,WTRRUN,1,2020,S11,RE1,0.4455
LNDRICIRR,WTRRUN,1,2021,S11,RE1,0.5162
LNDRICIRR,WTRRUN,1,2022,S11,RE1,0.6026
LNDRICIRR,WTRRUN,1,2023,S11,RE1,0.6894
LNDRICIRR,WTRRUN,1,2024,S11,RE1,0.7769
LNDRICIRR,WTRRUN,1,2025,S11,RE1,0.8648
LNDRICIRR,WTRRUN,1,2026,S11,RE1,0.953
LNDRICIRR,WTRRUN,1,2027,S11,RE1,1.0413
LNDRICIRR,WTRRUN,1,2028,S11,RE1,1.1303
LNDRICIRR,WTRRUN,1,2029,S11,RE1,1.2204
LNDRICIRR,WTRRUN,1,2030,S11,RE1,1.3102
