r,t,y,SalvageValue
RE1,DEMPWRSURWAT,2023,0.8497
RE1,DEMPWRSURWAT,2024,1.0295
RE1,DEMPWRSURWAT,2025,1.343
RE1,DEMPWRSURWAT,2026,1.855
RE1,DEMPWRSURWAT,2027,1.6637
RE1,DEMPWRSURWAT,2028,1.8661
RE1,DEMPWRSURWAT,2029,2.2634
RE1,DEMPWRSURWAT,2030,1.6059
RE1,DEMPWRSURWAT,2031,2.7462
RE1,DEMPWRSURWAT,2032,3.1714
RE1,DEMPWRSURWAT,2033,3.4628
RE1,DEMPWRSURWAT,2034,4.0098
RE1,DEMPWRSURWAT,2035,4.3298
RE1,DEMPUBSURWAT,2021,10.1704
RE1,DEMPUBSURWAT,2022,14.5708
RE1,DEMPUBSURWAT,2023,17.4588
RE1,DEMPUBSURWAT,2024,20.7405
RE1,DEMPUBSURWAT,2025,24.5145
RE1,DEMPUBSURWAT,2026,28.2228
RE1,DEMPUBSURWAT,2027,32.1281
RE1,DEMPUBSURWAT,2028,37.0178
RE1,DEMPUBSURWAT,2029,41.3825
RE1,DEMPUBSURWAT,2030,46.863
RE1,DEMPUBSURWAT,2031,52.1794
RE1,DEMPUBSURWAT,2032,57.7583
RE1,DEMPUBSURWAT,2033,64.1577
RE1,DEMPUBSURWAT,2034,70.8852
RE1,DEMPUBSURWAT,2035,78.5644
