r,t,y,NewCapacity
RE1,LNDMAIIRR,2021,0.4321
RE1,LNDMAIIRR,2022,0.4343
RE1,LNDMAIIRR,2023,0.4321
RE1,LNDMAIIRR,2024,0.4343
RE1,LNDMAIIRR,2025,0.4581
RE1,LNDMAIIRR,2026,0.4333
RE1,LNDMAIIRR,2027,0.4365
RE1,LNDMAIIRR,2028,0.4603
RE1,LNDMAIIRR,2029,0.4603
RE1,LNDMAIIRR,2030,0.4625
RE1,LNDMAIIRR,2031,0.1237
RE1,LNDMAIIRR,2032,0.1237
RE1,LNDMAIIRR,2033,0.1237
RE1,LNDMAIIRR,2034,0.1237
RE1,LNDMAIIRR,2035,0.1266
RE1,LNDRICIRR,2020,0.019
RE1,LNDRICIRR,2021,0.1556
RE1,LNDRICIRR,2022,0.1727
RE1,LNDRICIRR,2023,0.1676
RE1,LNDRICIRR,2024,0.1661
RE1,LNDRICIRR,2025,0.1626
RE1,LNDRICIRR,2026,0.1609
RE1,LNDRICIRR,2027,0.1567
RE1,LNDRICIRR,2028,0.1545
RE1,LNDRICIRR,2029,0.1526
RE1,LNDRICIRR,2030,0.1493
RE1,LNDRICIRR,2031,0.0323
RE1,LNDRICIRR,2032,0.0332
RE1,LNDRICIRR,2033,0.0341
RE1,LNDRICIRR,2034,0.0341
RE1,LNDRICIRR,2035,0.054
RE1,LNDFOR,2021,25.2175
RE1,LNDFOR,2022,25.233
RE1,LNDFOR,2023,25.2393
RE1,LNDFOR,2024,25.2386
RE1,LNDFOR,2025,25.2193
RE1,LNDFOR,2026,25.3449
RE1,LNDFOR,2027,24.2367
RE1,LNDFOR,2028,26.2333
RE1,LNDFOR,2029,24.1925
RE1,LNDFOR,2030,25.5491
RE1,LNDBLT,2021,1.7
RE1,LNDBLT,2022,1.6
RE1,LNDBLT,2023,1.7
RE1,LNDBLT,2024,1.6
RE1,LNDBLT,2025,1.7
RE1,LNDBLT,2026,1.6
RE1,LNDBLT,2027,1.7
RE1,LNDBLT,2028,1.6
RE1,LNDBLT,2029,1.7
RE1,LNDBLT,2030,1.7
RE1,LNDBLT,2031,0.1
RE1,LNDBLT,2032,0.2
RE1,LNDBLT,2033,0.2
RE1,LNDBLT,2034,0.1
RE1,LNDBLT,2035,0.2
RE1,LNDWAT,2020,25.0553
RE1,LNDWAT,2021,25.021
RE1,LNDWAT,2022,25.021
RE1,LNDWAT,2023,25.021
RE1,LNDWAT,2024,25.021
RE1,LNDWAT,2025,25.021
RE1,LNDWAT,2026,25.021
RE1,LNDWAT,2027,25.9301
RE1,LNDWAT,2028,25.021
RE1,LNDWAT,2029,25.9556
RE1,LNDWAT,2030,25.6338
RE1,LNDWAT,2031,25.3778
RE1,LNDWAT,2032,25.021
RE1,LNDWAT,2033,28.5942
RE1,LNDWAT,2034,26.2651
RE1,LNDWAT,2035,26.9945
RE1,RSCPRC,2020,3185.8407
RE1,RSCPRC,2021,3132.7434
RE1,RSCPRC,2022,3106.1947
RE1,RSCPRC,2023,3053.0973
RE1,RSCPRC,2024,3026.5487
RE1,RSCPRC,2025,2973.4513
RE1,RSCPRC,2026,2946.9027
RE1,RSCPRC,2027,2867.678
RE1,RSCPRC,2028,2867.2566
RE1,RSCPRC,2029,2788.032
RE1,RSCPRC,2030,2779.944
RE1,RSCPRC,2031,2794.2341
RE1,RSCPRC,2032,2814.1593
RE1,RSCPRC,2033,2761.4834
RE1,RSCPRC,2034,2787.6106
RE1,RSCPRC,2035,2787.6106
RE1,RSCHYD,2020,109.7768
RE1,RSCHYD,2021,109.43
RE1,RSCHYD,2022,106.7224
RE1,RSCHYD,2023,106.3976
RE1,RSCHYD,2024,103.6981
RE1,RSCHYD,2025,103.4119
RE1,RSCHYD,2026,103.5273
RE1,RSCHYD,2027,101.0388
RE1,RSCHYD,2028,100.5848
RE1,RSCHYD,2029,98.1282
RE1,RSCHYD,2030,98.169
RE1,RSCHYD,2031,98.1786
RE1,RSCHYD,2032,98.1604
RE1,RSCHYD,2033,99.2716
RE1,RSCHYD,2034,98.5592
RE1,RSCHYD,2035,98.9271
RE1,RSCSOL,2020,12.299
RE1,RSCSOL,2021,12.299
RE1,RSCSOL,2022,12.299
RE1,RSCSOL,2023,12.299
RE1,RSCSOL,2024,12.299
RE1,RSCSOL,2025,12.299
RE1,RSCSOL,2026,12.299
RE1,RSCSOL,2027,12.299
RE1,RSCSOL,2028,12.299
RE1,RSCSOL,2029,12.299
RE1,RSCSOL,2030,12.299
RE1,RSCSOL,2031,12.299
RE1,RSCSOL,2032,12.299
RE1,RSCSOL,2033,12.299
RE1,RSCSOL,2034,12.299
RE1,RSCSOL,2035,12.299
RE1,RSCWND,2020,19.3946
RE1,RSCWND,2021,19.3946
RE1,RSCWND,2022,19.3946
RE1,RSCWND,2023,19.3946
RE1,RSCWND,2024,19.3946
RE1,RSCWND,2025,19.3946
RE1,RSCWND,2026,19.3946
RE1,RSCWND,2027,19.3946
RE1,RSCWND,2028,19.3946
RE1,RSCWND,2029,19.3946
RE1,RSCWND,2030,19.3946
RE1,RSCWND,2031,19.3946
RE1,RSCWND,2032,19.3946
RE1,RSCWND,2033,19.3946
RE1,RSCWND,2034,19.3946
RE1,RSCWND,2035,19.3946
RE1,DEMAGRDSL,2020,2.0597
RE1,DEMAGRDSL,2021,2.1428
RE1,DEMAGRDSL,2022,2.235
RE1,DEMAGRDSL,2023,2.324
RE1,DEMAGRDSL,2024,2.4132
RE1,DEMAGRDSL,2025,2.5122
RE1,DEMAGRDSL,2026,2.5984
RE1,DEMAGRDSL,2027,2.6841
RE1,DEMAGRDSL,2028,2.7804
RE1,DEMAGRDSL,2029,2.8755
RE1,DEMAGRDSL,2030,2.9704
RE1,DEMAGRDSL,2031,3.0468
RE1,DEMAGRDSL,2032,3.1236
RE1,DEMAGRDSL,2033,3.2009
RE1,DEMAGRDSL,2034,3.2782
RE1,DEMAGRDSL,2035,3.3571
RE1,DEMAGRSURWAT,2023,0.3516
RE1,DEMAGRSURWAT,2024,0.4729
RE1,DEMAGRSURWAT,2025,0.5471
RE1,DEMAGRSURWAT,2026,0.505
RE1,DEMAGRSURWAT,2027,0.5183
RE1,DEMAGRSURWAT,2028,0.6165
RE1,DEMAGRSURWAT,2029,0.566
RE1,DEMAGRSURWAT,2030,0.5796
RE1,DEMAGRSURWAT,2031,0.1049
RE1,DEMAGRSURWAT,2032,0.1057
RE1,DEMAGRSURWAT,2033,0.1065
RE1,DEMAGRSURWAT,2034,0.2021
RE1,DEMAGRSURWAT,2035,0.1109
RE1,DEMPWRSURWAT,2021,0.001
RE1,DEMPWRSURWAT,2022,0.0057
RE1,DEMPWRSURWAT,2023,0.006
RE1,DEMPWRSURWAT,2024,0.0065
RE1,DEMPWRSURWAT,2025,0.0069
RE1,DEMPWRSURWAT,2026,0.0083
RE1,DEMPWRSURWAT,2027,0.0059
RE1,DEMPWRSURWAT,2028,0.0075
RE1,DEMPWRSURWAT,2029,0.0083
RE1,DEMPWRSURWAT,2030,0.0054
RE1,DEMPWRSURWAT,2031,0.0088
RE1,DEMPWRSURWAT,2032,0.0095
RE1,DEMPWRSURWAT,2033,0.0098
RE1,DEMPWRSURWAT,2034,0.0107
RE1,DEMPWRSURWAT,2035,0.011
RE1,DEMPUBSURWAT,2021,0.103
RE1,DEMPUBSURWAT,2022,0.123
RE1,DEMPUBSURWAT,2023,0.1263
RE1,DEMPUBSURWAT,2024,0.1313
RE1,DEMPUBSURWAT,2025,0.1379
RE1,DEMPUBSURWAT,2026,0.1429
RE1,DEMPUBSURWAT,2027,0.1479
RE1,DEMPUBSURWAT,2028,0.1562
RE1,DEMPUBSURWAT,2029,0.1612
RE1,DEMPUBSURWAT,2030,0.1695
RE1,DEMPUBSURWAT,2031,0.1761
RE1,DEMPUBSURWAT,2032,0.1828
RE1,DEMPUBSURWAT,2033,0.1911
RE1,DEMPUBSURWAT,2034,0.1994
RE1,DEMPUBSURWAT,2035,0.2094
RE1,DEMTRABIO,2020,1.1848
RE1,DEMTRABIO,2021,1.2204
RE1,DEMTRABIO,2022,1.2559
RE1,DEMTRABIO,2023,1.2915
RE1,DEMTRABIO,2024,1.327
RE1,DEMTRABIO,2025,1.3744
RE1,DEMTRABIO,2026,1.41
RE1,DEMTRABIO,2027,1.4455
RE1,DEMTRABIO,2028,1.4929
RE1,DEMTRABIO,2029,1.5403
RE1,DEMTRABIO,2030,1.5877
RE1,DEMTRABIO,2031,1.6351
RE1,DEMTRABIO,2032,1.6825
RE1,DEMTRABIO,2033,1.7299
RE1,DEMTRABIO,2034,1.7773
RE1,DEMTRABIO,2035,1.8246
RE1,PWRBATIN,2020,999999.0
RE1,PWRBATIN,2021,999999.0
RE1,PWRBATIN,2022,999999.0
RE1,PWRBATIN,2023,999999.0
RE1,PWRBATIN,2024,999999.0
RE1,PWRBATIN,2025,999999.0
RE1,PWRBATIN,2026,999999.0
RE1,PWRBATIN,2027,999999.0
RE1,PWRBATIN,2028,999999.0
RE1,PWRBATIN,2029,999999.0
RE1,PWRBATIN,2030,999999.0
RE1,PWRBATIN,2031,999999.0
RE1,PWRBATIN,2032,999999.0
RE1,PWRBATIN,2033,999999.0
RE1,PWRBATIN,2034,999999.0
RE1,PWRBATIN,2035,999999.0
RE1,PWRBATOUT,2020,999999.0
RE1,PWRBATOUT,2021,999999.0
RE1,PWRBATOUT,2022,999999.0
RE1,PWRBATOUT,2023,999999.0
RE1,PWRBATOUT,2024,999999.0
RE1,PWRBATOUT,2025,999999.0
RE1,PWRBATOUT,2026,999999.0
RE1,PWRBATOUT,2027,999999.0
RE1,PWRBATOUT,2028,999999.0
RE1,PWRBATOUT,2029,999999.0
RE1,PWRBATOUT,2030,999999.0
RE1,PWRBATOUT,2031,999999.0
RE1,PWRBATOUT,2032,999999.0
RE1,PWRBATOUT,2033,999999.0
RE1,PWRBATOUT,2034,999999.0
RE1,PWRBATOUT,2035,999999.0
